Datum;Anfang;Ende;Vorgehaltene Menge [MW] Berechnete Auflösungen;Leistungspreis [€/MW] Berechnete Auflösungen
01.10.2018;00:00;01:00;620;2.486,06
01.10.2018;01:00;02:00;620;2.486,06
01.10.2018;02:00;03:00;620;2.486,06
01.10.2018;03:00;04:00;620;2.486,06
01.10.2018;04:00;05:00;620;2.486,06
01.10.2018;05:00;06:00;620;2.486,06
01.10.2018;06:00;07:00;620;2.486,06
01.10.2018;07:00;08:00;620;2.486,06
01.10.2018;08:00;09:00;620;2.486,06
01.10.2018;09:00;10:00;620;2.486,06
01.10.2018;10:00;11:00;620;2.486,06
01.10.2018;11:00;12:00;620;2.486,06
01.10.2018;12:00;13:00;620;2.486,06
01.10.2018;13:00;14:00;620;2.486,06
01.10.2018;14:00;15:00;620;2.486,06
01.10.2018;15:00;16:00;620;2.486,06
01.10.2018;16:00;17:00;620;2.486,06
01.10.2018;17:00;18:00;620;2.486,06
01.10.2018;18:00;19:00;620;2.486,06
01.10.2018;19:00;20:00;620;2.486,06
01.10.2018;20:00;21:00;620;2.486,06
01.10.2018;21:00;22:00;620;2.486,06
01.10.2018;22:00;23:00;620;2.486,06
01.10.2018;23:00;00:00;620;2.486,06
02.10.2018;00:00;01:00;620;2.486,06
02.10.2018;01:00;02:00;620;2.486,06
02.10.2018;02:00;03:00;620;2.486,06
02.10.2018;03:00;04:00;620;2.486,06
02.10.2018;04:00;05:00;620;2.486,06
02.10.2018;05:00;06:00;620;2.486,06
02.10.2018;06:00;07:00;620;2.486,06
02.10.2018;07:00;08:00;620;2.486,06
02.10.2018;08:00;09:00;620;2.486,06
02.10.2018;09:00;10:00;620;2.486,06
02.10.2018;10:00;11:00;620;2.486,06
02.10.2018;11:00;12:00;620;2.486,06
02.10.2018;12:00;13:00;620;2.486,06
02.10.2018;13:00;14:00;620;2.486,06
02.10.2018;14:00;15:00;620;2.486,06
02.10.2018;15:00;16:00;620;2.486,06
02.10.2018;16:00;17:00;620;2.486,06
02.10.2018;17:00;18:00;620;2.486,06
02.10.2018;18:00;19:00;620;2.486,06
02.10.2018;19:00;20:00;620;2.486,06
02.10.2018;20:00;21:00;620;2.486,06
02.10.2018;21:00;22:00;620;2.486,06
02.10.2018;22:00;23:00;620;2.486,06
02.10.2018;23:00;00:00;620;2.486,06
03.10.2018;00:00;01:00;620;2.486,06
03.10.2018;01:00;02:00;620;2.486,06
03.10.2018;02:00;03:00;620;2.486,06
03.10.2018;03:00;04:00;620;2.486,06
03.10.2018;04:00;05:00;620;2.486,06
03.10.2018;05:00;06:00;620;2.486,06
03.10.2018;06:00;07:00;620;2.486,06
03.10.2018;07:00;08:00;620;2.486,06
03.10.2018;08:00;09:00;620;2.486,06
03.10.2018;09:00;10:00;620;2.486,06
03.10.2018;10:00;11:00;620;2.486,06
03.10.2018;11:00;12:00;620;2.486,06
03.10.2018;12:00;13:00;620;2.486,06
03.10.2018;13:00;14:00;620;2.486,06
03.10.2018;14:00;15:00;620;2.486,06
03.10.2018;15:00;16:00;620;2.486,06
03.10.2018;16:00;17:00;620;2.486,06
03.10.2018;17:00;18:00;620;2.486,06
03.10.2018;18:00;19:00;620;2.486,06
03.10.2018;19:00;20:00;620;2.486,06
03.10.2018;20:00;21:00;620;2.486,06
03.10.2018;21:00;22:00;620;2.486,06
03.10.2018;22:00;23:00;620;2.486,06
03.10.2018;23:00;00:00;620;2.486,06
04.10.2018;00:00;01:00;620;2.486,06
04.10.2018;01:00;02:00;620;2.486,06
04.10.2018;02:00;03:00;620;2.486,06
04.10.2018;03:00;04:00;620;2.486,06
04.10.2018;04:00;05:00;620;2.486,06
04.10.2018;05:00;06:00;620;2.486,06
04.10.2018;06:00;07:00;620;2.486,06
04.10.2018;07:00;08:00;620;2.486,06
04.10.2018;08:00;09:00;620;2.486,06
04.10.2018;09:00;10:00;620;2.486,06
04.10.2018;10:00;11:00;620;2.486,06
04.10.2018;11:00;12:00;620;2.486,06
04.10.2018;12:00;13:00;620;2.486,06
04.10.2018;13:00;14:00;620;2.486,06
04.10.2018;14:00;15:00;620;2.486,06
04.10.2018;15:00;16:00;620;2.486,06
04.10.2018;16:00;17:00;620;2.486,06
04.10.2018;17:00;18:00;620;2.486,06
04.10.2018;18:00;19:00;620;2.486,06
04.10.2018;19:00;20:00;620;2.486,06
04.10.2018;20:00;21:00;620;2.486,06
04.10.2018;21:00;22:00;620;2.486,06
04.10.2018;22:00;23:00;620;2.486,06
04.10.2018;23:00;00:00;620;2.486,06
05.10.2018;00:00;01:00;620;2.486,06
05.10.2018;01:00;02:00;620;2.486,06
05.10.2018;02:00;03:00;620;2.486,06
05.10.2018;03:00;04:00;620;2.486,06
05.10.2018;04:00;05:00;620;2.486,06
05.10.2018;05:00;06:00;620;2.486,06
05.10.2018;06:00;07:00;620;2.486,06
05.10.2018;07:00;08:00;620;2.486,06
05.10.2018;08:00;09:00;620;2.486,06
05.10.2018;09:00;10:00;620;2.486,06
05.10.2018;10:00;11:00;620;2.486,06
05.10.2018;11:00;12:00;620;2.486,06
05.10.2018;12:00;13:00;620;2.486,06
05.10.2018;13:00;14:00;620;2.486,06
05.10.2018;14:00;15:00;620;2.486,06
05.10.2018;15:00;16:00;620;2.486,06
05.10.2018;16:00;17:00;620;2.486,06
05.10.2018;17:00;18:00;620;2.486,06
05.10.2018;18:00;19:00;620;2.486,06
05.10.2018;19:00;20:00;620;2.486,06
05.10.2018;20:00;21:00;620;2.486,06
05.10.2018;21:00;22:00;620;2.486,06
05.10.2018;22:00;23:00;620;2.486,06
05.10.2018;23:00;00:00;620;2.486,06
06.10.2018;00:00;01:00;620;2.486,06
06.10.2018;01:00;02:00;620;2.486,06
06.10.2018;02:00;03:00;620;2.486,06
06.10.2018;03:00;04:00;620;2.486,06
06.10.2018;04:00;05:00;620;2.486,06
06.10.2018;05:00;06:00;620;2.486,06
06.10.2018;06:00;07:00;620;2.486,06
06.10.2018;07:00;08:00;620;2.486,06
06.10.2018;08:00;09:00;620;2.486,06
06.10.2018;09:00;10:00;620;2.486,06
06.10.2018;10:00;11:00;620;2.486,06
06.10.2018;11:00;12:00;620;2.486,06
06.10.2018;12:00;13:00;620;2.486,06
06.10.2018;13:00;14:00;620;2.486,06
06.10.2018;14:00;15:00;620;2.486,06
06.10.2018;15:00;16:00;620;2.486,06
06.10.2018;16:00;17:00;620;2.486,06
06.10.2018;17:00;18:00;620;2.486,06
06.10.2018;18:00;19:00;620;2.486,06
06.10.2018;19:00;20:00;620;2.486,06
06.10.2018;20:00;21:00;620;2.486,06
06.10.2018;21:00;22:00;620;2.486,06
06.10.2018;22:00;23:00;620;2.486,06
06.10.2018;23:00;00:00;620;2.486,06
07.10.2018;00:00;01:00;620;2.486,06
07.10.2018;01:00;02:00;620;2.486,06
07.10.2018;02:00;03:00;620;2.486,06
07.10.2018;03:00;04:00;620;2.486,06
07.10.2018;04:00;05:00;620;2.486,06
07.10.2018;05:00;06:00;620;2.486,06
07.10.2018;06:00;07:00;620;2.486,06
07.10.2018;07:00;08:00;620;2.486,06
07.10.2018;08:00;09:00;620;2.486,06
07.10.2018;09:00;10:00;620;2.486,06
07.10.2018;10:00;11:00;620;2.486,06
07.10.2018;11:00;12:00;620;2.486,06
07.10.2018;12:00;13:00;620;2.486,06
07.10.2018;13:00;14:00;620;2.486,06
07.10.2018;14:00;15:00;620;2.486,06
07.10.2018;15:00;16:00;620;2.486,06
07.10.2018;16:00;17:00;620;2.486,06
07.10.2018;17:00;18:00;620;2.486,06
07.10.2018;18:00;19:00;620;2.486,06
07.10.2018;19:00;20:00;620;2.486,06
07.10.2018;20:00;21:00;620;2.486,06
07.10.2018;21:00;22:00;620;2.486,06
07.10.2018;22:00;23:00;620;2.486,06
07.10.2018;23:00;00:00;620;2.486,06
08.10.2018;00:00;01:00;620;2.524,79
08.10.2018;01:00;02:00;620;2.524,79
08.10.2018;02:00;03:00;620;2.524,79
08.10.2018;03:00;04:00;620;2.524,79
