Datum,Anfang,Ende,Gesamt (Netzlast) [MWh] Berechnete Auflösungen,Residuallast [MWh] Berechnete Auflösungen,Pumpspeicher [MWh] Berechnete Auflösungen
01.10.2018,00:00,01:00,-,-,3.483
01.10.2018,01:00,02:00,"42.064,5","36.009,25","3.945,25"
01.10.2018,02:00,03:00,"41.274,5","35.240,5","3.868,75"
01.10.2018,03:00,04:00,"42.095,5",35.795,4.896
01.10.2018,04:00,05:00,43.659,"36.541,5",5.388
01.10.2018,05:00,06:00,"48.028,75","40.186,25",2.012
01.10.2018,06:00,07:00,"57.390,5","47.884,25","748,5"
01.10.2018,07:00,08:00,"63.471,5","52.731,75","26,5"
01.10.2018,08:00,09:00,"66.185,75","53.472,75","9,75"
01.10.2018,09:00,10:00,"67.004,25","51.693,5","31,75"
01.10.2018,10:00,11:00,68.182,"49.103,5","365,75"
01.10.2018,11:00,12:00,"69.665,25",46.425,"1.137,75"
01.10.2018,12:00,13:00,69.369,"43.387,75","414,5"
01.10.2018,13:00,14:00,68.720,"41.098,75","436,5"
01.10.2018,14:00,15:00,"68.121,75","38.783,75","1.445,5"
01.10.2018,15:00,16:00,"66.976,5",38.413,"1.042,75"
01.10.2018,16:00,17:00,"65.407,5","38.934,5","717,75"
01.10.2018,17:00,18:00,"65.315,75","42.679,75",452
01.10.2018,18:00,19:00,66.097,"47.399,5",266
01.10.2018,19:00,20:00,67.460,49.426,90
01.10.2018,20:00,21:00,"64.760,75","46.181,75","312,5"
01.10.2018,21:00,22:00,"60.833,25","42.323,5",886
01.10.2018,22:00,23:00,57.294,39.470,1.305
01.10.2018,23:00,00:00,52.806,"35.410,25",1.988
02.10.2018,00:00,01:00,"49.327,75",32.683,"2.118,25"
02.10.2018,01:00,02:00,"47.655,75",31.676,"2.212,25"
02.10.2018,02:00,03:00,"46.264,75","30.585,25","4.513,75"
02.10.2018,03:00,04:00,"47.315,25","30.708,5","5.439,5"
02.10.2018,04:00,05:00,"48.861,25",30.955,"4.806,75"
02.10.2018,05:00,06:00,53.393,34.043,"3.336,25"
02.10.2018,06:00,07:00,"61.418,25",40.490,"258,25"
02.10.2018,07:00,08:00,66.483,"43.868,25",22
02.10.2018,08:00,09:00,"68.662,25","43.298,5",33
02.10.2018,09:00,10:00,"69.787,5","40.379,5","410,25"
02.10.2018,10:00,11:00,71.334,"36.679,25","502,25"
02.10.2018,11:00,12:00,"72.750,25","33.237,5","1.213,25"
02.10.2018,12:00,13:00,72.284,"30.429,25","682,5"
02.10.2018,13:00,14:00,71.724,29.709,"545,25"
02.10.2018,14:00,15:00,"70.678,5","28.811,5",542
02.10.2018,15:00,16:00,"69.472,5","29.309,75",331
02.10.2018,16:00,17:00,67.623,28.612,570
02.10.2018,17:00,18:00,66.989,"29.873,75","373,25"
02.10.2018,18:00,19:00,"67.314,75","31.776,75",28
02.10.2018,19:00,20:00,68.824,"34.089,25","1,75"
02.10.2018,20:00,21:00,"65.758,25","31.104,5","45,25"
02.10.2018,21:00,22:00,"61.538,25","26.826,25",470
02.10.2018,22:00,23:00,"57.183,5",23.346,"1.245,25"
02.10.2018,23:00,00:00,"53.131,5",19.212,"2.422,25"
03.10.2018,00:00,01:00,"50.028,75","16.033,25",3.400
03.10.2018,01:00,02:00,48.133,"14.260,5","4.304,25"
03.10.2018,02:00,03:00,47.030,"12.724,25",4.532
03.10.2018,03:00,04:00,"46.784,25","12.881,25","4.525,5"
03.10.2018,04:00,05:00,"46.622,5",13.026,4.190
03.10.2018,05:00,06:00,46.554,"13.418,75","3.829,5"
03.10.2018,06:00,07:00,"46.285,5","12.993,75","3.654,75"
03.10.2018,07:00,08:00,"48.099,75","15.650,5",2.469
03.10.2018,08:00,09:00,"51.265,75","18.922,75","886,5"
03.10.2018,09:00,10:00,"54.252,25","20.155,25","827,5"
03.10.2018,10:00,11:00,55.732,"18.800,5","1.804,75"
03.10.2018,11:00,12:00,57.833,"17.952,5","2.322,25"
03.10.2018,12:00,13:00,"57.527,75",16.198,"2.963,25"
03.10.2018,13:00,14:00,55.060,"13.677,5","4.801,75"
03.10.2018,14:00,15:00,"53.653,75","13.240,75","4.914,25"
03.10.2018,15:00,16:00,"52.619,5","15.061,25",3.935
03.10.2018,16:00,17:00,"52.077,75","20.366,75",1.117
03.10.2018,17:00,18:00,"52.879,75","27.826,5","334,75"
03.10.2018,18:00,19:00,"55.018,75","36.451,5",176
03.10.2018,19:00,20:00,"57.648,75","41.561,5","25,25"
03.10.2018,20:00,21:00,"56.054,75","40.827,75",304
03.10.2018,21:00,22:00,"53.720,75","38.771,25","350,5"
03.10.2018,22:00,23:00,"52.237,75","37.761,5","354,75"
03.10.2018,23:00,00:00,48.549,35.397,1.261
04.10.2018,00:00,01:00,"45.859,75","33.786,5",873
04.10.2018,01:00,02:00,44.392,"32.846,5","1.912,5"
04.10.2018,02:00,03:00,"43.446,5","32.449,25","2.220,5"
04.10.2018,03:00,04:00,"44.171,5","33.590,5","2.277,25"
04.10.2018,04:00,05:00,"45.775,25","35.023,25",2.379
04.10.2018,05:00,06:00,50.046,"39.990,25","1.181,5"
04.10.2018,06:00,07:00,"58.850,25","48.930,25","322,25"
04.10.2018,07:00,08:00,63.993,"54.297,5",0
04.10.2018,08:00,09:00,"65.945,25",54.856,0
04.10.2018,09:00,10:00,"66.778,5",52.927,"15,75"
