Zeit	Einstrahlung auf die Horizontale (kWh/m²)	Diffusstrahlung auf die Horizontale (kWh/m²)	Außentemperatur (°C)	Freifläche 01-Fläche Süd: Sonnenhöhe (rad)	Freifläche 01-Fläche Süd: Einstrahlung auf die geneigte Fläche (kWh/m²)	Freifläche 01-Fläche Süd: Modultemperatur (°C)	Eingespeiste Energie kWh
2018-10-01 00:00:00	0.0	0.0	-0.5	-59.908	0.0	0.54	0.0
2018-10-01 01:00:00	0.0	0.0	-1.7	-57.85	0.0	-1.59	0.0
2018-10-01 02:00:00	0.0	0.0	-2.6	-52.347	0.0	-2.55	0.0
2018-10-01 03:00:00	0.0	0.0	-2.6	-44.764	0.0	-2.6	0.0
2018-10-01 04:00:00	0.0	0.0	-2.6	-36.157	0.0	-2.6	0.0
2018-10-01 05:00:00	0.0	0.0	-2.6	-27.19	0.0	-2.6	0.0
2018-10-01 06:00:00	0.0	0.0	-2.7	-18.307	0.0	-2.69	0.0
2018-10-01 07:00:00	0.0	0.0	-2.2	-9.8569	0.0	-2.23	0.0
2018-10-01 08:00:00	0.0	0.0	-2.0	-2.1751	0.0	-2.01	0.0
2018-10-01 09:00:00	0.014	0.01386	-1.9	4.3889	0.013341	-1.65	1.8307
2018-10-01 10:00:00	0.044	0.042701	-1.8	9.4652	0.044372	-0.96	24.098
2018-10-01 11:00:00	0.088	0.080262	-1.4	12.698	0.10087	0.52	79.551
2018-10-01 12:00:00	0.094	0.086468	-1.3	13.82	0.10491	0.76	84.64
2018-10-01 13:00:00	0.091	0.082188	-1.5	12.727	0.10641	0.61	83.414
2018-10-01 14:00:00	0.048	0.04623	-1.5	9.5188	0.049459	-0.46	28.713
2018-10-01 15:00:00	0.012	0.01188	-1.7	4.464	0.011435	-1.42	1.2617
2018-10-01 16:00:00	0.0	0.0	-1.8	-2.0834	0.0	-1.78	0.0
2018-10-01 17:00:00	0.0	0.0	-2.0	-9.7532	0.0	-1.99	0.0
2018-10-01 18:00:00	0.0	0.0	-1.8	-18.195	0.0	-1.81	0.0
2018-10-01 19:00:00	0.0	0.0	-2.0	-27.076	0.0	-1.99	0.0
2018-10-01 20:00:00	0.0	0.0	-2.2	-36.044	0.0	-2.19	0.0
2018-10-01 21:00:00	0.0	0.0	-2.4	-44.659	0.0	-2.39	0.0
2018-10-01 22:00:00	0.0	0.0	-2.4	-52.261	0.0	-2.4	0.0
2018-10-01 23:00:00	0.0	0.0	-2.4	-57.798	0.0	-2.4	0.0
2018-10-02 00:00:00	0.0	0.0	-2.4	-59.828	0.0	-2.4	0.0
2018-10-02 01:00:00	0.0	0.0	-2.3	-57.803	0.0	-2.31	0.0
2018-10-02 02:00:00	0.0	0.0	-2.1	-52.329	0.0	-2.11	0.0
2018-10-02 03:00:00	0.0	0.0	-1.8	-44.763	0.0	-1.82	0.0
2018-10-02 04:00:00	0.0	0.0	-1.6	-36.164	0.0	-1.61	0.0
2018-10-02 05:00:00	0.0	0.0	-1.9	-27.199	0.0	-1.89	0.0
2018-10-02 06:00:00	0.0	0.0	-2.3	-18.311	0.0	-2.28	0.0
2018-10-02 07:00:00	0.0	0.0	-2.8	-9.8546	0.0	-2.77	0.0
2018-10-02 08:00:00	0.0	0.0	-3.1	-2.1619	0.0	-3.08	0.0
2018-10-02 09:00:00	0.034	0.03366	-2.6	4.4162	0.032399	-2.02	14.021
2018-10-02 10:00:00	0.067	0.059996	-1.7	9.5091	0.0834	-0.15	48.195
2018-10-02 11:00:00	0.135	0.09399	-1.0	12.76	0.23108	3.38	149.38
2018-10-02 12:00:00	0.178	0.089294	0.0	13.9	0.3721	7.16	213.6
2018-10-02 13:00:00	0.187	0.055123	0.9	12.822	0.46849	10.01	246.06
2018-10-02 14:00:00	0.095	0.068577	0.7	9.6272	0.17135	4.38	30.755
2018-10-02 15:00:00	0.039	0.03861	0.4	4.5814	0.037163	1.3	18.552
2018-10-02 16:00:00	0.0	0.0	-0.4	-1.96	0.0	-0.31	0.0
2018-10-02 17:00:00	0.0	0.0	-0.9	-9.6262	0.0	-0.87	0.0
2018-10-02 18:00:00	0.0	0.0	-1.2	-18.066	0.0	-1.18	0.0
2018-10-02 19:00:00	0.0	0.0	-1.0	-26.946	0.0	-1.01	0.0
2018-10-02 20:00:00	0.0	0.0	-1.0	-35.914	0.0	-1.0	0.0
2018-10-02 21:00:00	0.0	0.0	-0.9	-44.531	0.0	-0.91	0.0
2018-10-02 22:00:00	0.0	0.0	-0.9	-52.139	0.0	-0.9	0.0
