STATIONS_ID,MESS_DATUM,QN_592,ATMO_LBERG,FD_LBERG,FG_LBERG,SD_LBERG,ZENIT,MESS_DATUM_WOZ,eor
691,2018093023:14,1,-999,0.0,0.0,0,129.64,01.10.2018 00:00,eor
691,2018100100:14,1,-999,0.0,0.0,0,129.65,01.10.2018 01:00,eor
691,2018100101:14,1,-999,0.0,0.0,0,126.71,01.10.2018 02:00,eor
691,2018100102:14,1,-999,0.0,0.0,0,121.31,01.10.2018 03:00,eor
691,2018100103:14,1,-999,0.0,0.0,0,114.14,01.10.2018 04:00,eor
691,2018100104:14,1,-999,0.0,0.0,0,105.88,01.10.2018 05:00,eor
691,2018100105:14,1,-999,0.0,0.0,0,97.03,01.10.2018 06:00,eor
691,2018100106:14,1,-999,3.0,3.0,0,88.05,01.10.2018 07:00,eor
691,2018100107:14,1,-999,17.0,47.0,43,79.33,01.10.2018 08:00,eor
691,2018100108:14,1,-999,35.0,114.0,60,71.3,01.10.2018 09:00,eor
691,2018100109:14,1,-999,42.0,148.0,59,64.45,01.10.2018 10:00,eor
691,2018100110:14,1,-999,61.0,127.0,33,59.38,01.10.2018 11:00,eor
691,2018100111:14,1,-999,74.0,92.0,10,56.66,01.10.2018 12:00,eor
691,2018100112:14,1,-999,107.0,124.0,23,56.67,01.10.2018 13:00,eor
691,2018100113:14,1,-999,36.0,38.0,2,59.43,01.10.2018 14:00,eor
691,2018100114:14,1,-999,55.0,90.0,22,64.53,01.10.2018 15:00,eor
691,2018100115:14,1,-999,34.0,66.0,28,71.4,01.10.2018 16:00,eor
691,2018100116:14,1,-999,22.0,43.0,37,79.45,01.10.2018 17:00,eor
691,2018100117:14,1,-999,5.0,6.0,4,88.19,01.10.2018 18:00,eor
691,2018100118:14,1,-999,0.0,0.0,0,97.2,01.10.2018 19:00,eor
691,2018100119:14,1,-999,0.0,0.0,0,106.08,01.10.2018 20:00,eor
691,2018100120:14,1,-999,0.0,0.0,0,114.38,01.10.2018 21:00,eor
691,2018100121:14,1,-999,0.0,0.0,0,121.59,01.10.2018 22:00,eor
691,2018100122:14,1,-999,0.0,0.0,0,127.04,01.10.2018 23:00,eor
691,2018100123:14,1,-999,0.0,0.0,0,130.02,02.10.2018 00:00,eor
691,2018100200:14,1,-999,0.0,0.0,0,130.04,02.10.2018 01:00,eor
691,2018100201:14,1,-999,0.0,0.0,0,127.08,02.10.2018 02:00,eor
