Zeit;Einstrahlung auf die Horizontale (kWh/m²);Diffusstrahlung auf die Horizontale (kWh/m²);Außentemperatur (°C);Freifläche 01-Fläche Süd: Sonnenhöhe (rad);Freifläche 01-Fläche Süd: Einstrahlung auf die geneigte Fläche (kWh/m²);Freifläche 01-Fläche Süd: Modultemperatur (°C);Eingespeiste Energie kWh
01.01. 00:00;0;0;-0,5;-59,908;0;0,54;0
01.01. 01:00;0;0;-1,7;-57,85;0;-1,59;0
01.01. 02:00;0;0;-2,6;-52,347;0;-2,55;0
01.01. 03:00;0;0;-2,6;-44,764;0;-2,6;0
01.01. 04:00;0;0;-2,6;-36,157;0;-2,6;0
01.01. 05:00;0;0;-2,6;-27,19;0;-2,6;0
01.01. 06:00;0;0;-2,7;-18,307;0;-2,69;0
01.01. 07:00;0;0;-2,2;-9,8569;0;-2,23;0
01.01. 08:00;0;0;-2;-2,1751;0;-2,01;0
01.01. 09:00;0,014;0,01386;-1,9;4,3889;0,013341;-1,65;1,8307
01.01. 10:00;0,044;0,042701;-1,8;9,4652;0,044372;-0,96;24,098
01.01. 11:00;0,088;0,080262;-1,4;12,698;0,10087;0,52;79,551
01.01. 12:00;0,094;0,086468;-1,3;13,82;0,10491;0,76;84,64
01.01. 13:00;0,091;0,082188;-1,5;12,727;0,10641;0,61;83,414
01.01. 14:00;0,048;0,04623;-1,5;9,5188;0,049459;-0,46;28,713
01.01. 15:00;0,012;0,01188;-1,7;4,464;0,011435;-1,42;1,2617
01.01. 16:00;0;0;-1,8;-2,0834;0;-1,78;0
01.01. 17:00;0;0;-2;-9,7532;0;-1,99;0
01.01. 18:00;0;0;-1,8;-18,195;0;-1,81;0
01.01. 19:00;0;0;-2;-27,076;0;-1,99;0
01.01. 20:00;0;0;-2,2;-36,044;0;-2,19;0
01.01. 21:00;0;0;-2,4;-44,659;0;-2,39;0
01.01. 22:00;0;0;-2,4;-52,261;0;-2,4;0
01.01. 23:00;0;0;-2,4;-57,798;0;-2,4;0
02.01. 00:00;0;0;-2,4;-59,828;0;-2,4;0
02.01. 01:00;0;0;-2,3;-57,803;0;-2,31;0
02.01. 02:00;0;0;-2,1;-52,329;0;-2,11;0
02.01. 03:00;0;0;-1,8;-44,763;0;-1,82;0
02.01. 04:00;0;0;-1,6;-36,164;0;-1,61;0
02.01. 05:00;0;0;-1,9;-27,199;0;-1,89;0
02.01. 06:00;0;0;-2,3;-18,311;0;-2,28;0
02.01. 07:00;0;0;-2,8;-9,8546;0;-2,77;0
02.01. 08:00;0;0;-3,1;-2,1619;0;-3,08;0
02.01. 09:00;0,034;0,03366;-2,6;4,4162;0,032399;-2,02;14,021
