Datum;Anfang;Ende;Vorgehaltene Menge [MW];Leistungspreis
01.10.2018;00:00;01:00;556.0; 12.00 
01.10.2018;01:00;02:00;556.0; 12.00 
01.10.2018;02:00;03:00;556.0; 12.00 
01.10.2018;03:00;04:00;556.0; 12.00 
01.10.2018;04:00;05:00;550.0; 12.00 
01.10.2018;05:00;06:00;550.0; 12.00 
01.10.2018;06:00;07:00;550.0; 12.00 
01.10.2018;07:00;08:00;550.0; 12.00 
01.10.2018;08:00;09:00;507.0; 12.00 
01.10.2018;09:00;10:00;507.0; 12.00 
01.10.2018;10:00;11:00;507.0; 12.00 
01.10.2018;11:00;12:00;507.0; 12.00 
01.10.2018;12:00;13:00;545.0; 12.00 
01.10.2018;13:00;14:00;545.0; 12.00 
01.10.2018;14:00;15:00;545.0; 12.00 
01.10.2018;15:00;16:00;545.0; 12.00 
01.10.2018;16:00;17:00;500.0; 12.00 
01.10.2018;17:00;18:00;500.0; 12.00 
01.10.2018;18:00;19:00;500.0; 12.00 
01.10.2018;19:00;20:00;500.0; 12.00 
01.10.2018;20:00;21:00;580.0; 12.00 
01.10.2018;21:00;22:00;580.0; 12.00 
01.10.2018;22:00;23:00;580.0; 12.00 
01.10.2018;23:00;00:00;580.0; 12.00 
02.10.2018;00:00;01:00;546.0; 13.80 
02.10.2018;01:00;02:00;546.0; 13.80 
02.10.2018;02:00;03:00;546.0; 13.80 
02.10.2018;03:00;04:00;546.0; 13.80 
02.10.2018;04:00;05:00;565.0; 13.80 
02.10.2018;05:00;06:00;565.0; 13.80 
02.10.2018;06:00;07:00;565.0; 13.80 
02.10.2018;07:00;08:00;565.0; 13.80 
02.10.2018;08:00;09:00;508.0; 13.80 
02.10.2018;09:00;10:00;508.0; 13.80 
02.10.2018;10:00;11:00;508.0; 13.80 
02.10.2018;11:00;12:00;508.0; 13.80 
02.10.2018;12:00;13:00;548.0; 13.80 
02.10.2018;13:00;14:00;548.0; 13.80 
02.10.2018;14:00;15:00;548.0; 13.80 
02.10.2018;15:00;16:00;548.0; 13.80 
02.10.2018;16:00;17:00;513.0; 13.80 
02.10.2018;17:00;18:00;513.0; 13.80 
02.10.2018;18:00;19:00;513.0; 13.80 
02.10.2018;19:00;20:00;513.0; 13.80 
02.10.2018;20:00;21:00;524.0; 13.80 
02.10.2018;21:00;22:00;524.0; 13.80 
02.10.2018;22:00;23:00;524.0; 13.80 
02.10.2018;23:00;00:00;524.0; 13.80 
03.10.2018;00:00;01:00;515.0; 13.48 
03.10.2018;01:00;02:00;515.0; 13.48 
03.10.2018;02:00;03:00;515.0; 13.48 
03.10.2018;03:00;04:00;515.0; 13.48 
03.10.2018;04:00;05:00;495.0; 13.48 
03.10.2018;05:00;06:00;495.0; 13.48 
03.10.2018;06:00;07:00;495.0; 13.48 
03.10.2018;07:00;08:00;495.0; 13.48 
03.10.2018;08:00;09:00;500.0; 13.48 
03.10.2018;09:00;10:00;500.0; 13.48 
03.10.2018;10:00;11:00;500.0; 13.48 
03.10.2018;11:00;12:00;500.0; 13.48 
03.10.2018;12:00;13:00;531.0; 13.48 
03.10.2018;13:00;14:00;531.0; 13.48 
03.10.2018;14:00;15:00;531.0; 13.48 
03.10.2018;15:00;16:00;531.0; 13.48 
03.10.2018;16:00;17:00;535.0; 13.48 
03.10.2018;17:00;18:00;535.0; 13.48 
03.10.2018;18:00;19:00;535.0; 13.48 
03.10.2018;19:00;20:00;535.0; 13.48 
03.10.2018;20:00;21:00;545.0; 13.48 
03.10.2018;21:00;22:00;545.0; 13.48 
03.10.2018;22:00;23:00;545.0; 13.48 
03.10.2018;23:00;00:00;545.0; 13.48 
04.10.2018;00:00;01:00;509.0; 9.92 
04.10.2018;01:00;02:00;509.0; 9.92 
04.10.2018;02:00;03:00;509.0; 9.92 
04.10.2018;03:00;04:00;509.0; 9.92 
04.10.2018;04:00;05:00;510.0; 9.92 
04.10.2018;05:00;06:00;510.0; 9.92 
04.10.2018;06:00;07:00;510.0; 9.92 
04.10.2018;07:00;08:00;510.0; 9.92 
04.10.2018;08:00;09:00;504.0; 9.92 
04.10.2018;09:00;10:00;504.0; 9.92 
