step,price,amount,trade_type,reward
39,0.309205,50,sell,15.7955
63,0.30379999999999996,50,sell,15.3035
108,0.456685,50,sell,23.0085
109,0.45707,50,buy,22.6985
112,0.45656499999999994,50,buy,22.691999999999997
157,0.447345,50,sell,22.4235
224,0.280355,50,buy,13.9865
231,0.32652499999999995,50,sell,16.415499999999998
421,0.24787499999999996,50,sell,12.434999999999995
424,0.24912,50,buy,12.4405
448,0.226595,50,buy,11.250499999999999
542,0.13887,50,sell,6.998
554,0.11619499999999999,50,buy,5.6055
640,0.07109,50,buy,3.5540000000000003
