step,price,amount,trade_type,reward
8,0.6830370426177979,370.49737548828125,buy,153.23771450195312
9,-0.821269690990448,-495.2012939453125,sell,219.20580477783204
10,0.9040281772613525,474.3814697265625,buy,205.49730887084962
11,-0.8911287784576416,-430.91412353515625,sell,184.14684155151366
12,0.9854507446289062,497.7945556640625,buy,203.92651767333984
13,-0.8529148101806641,-420.7655029296875,sell,169.97243256347656
14,0.999107837677002,499.87603759765625,buy,192.1023612487793
15,-0.8195192813873291,-395.42230224609375,sell,121.62399172485348
22,-0.8729493021965027,-171.76199340820312,sell,57.287777661437985
23,0.32067060470581055,482.40411376953125,buy,134.4074341784668
24,-0.874027669429779,-377.53729248046875,sell,96.74015582519532
36,0.8904803991317749,81.24395751953125,buy,25.68040253234863
39,0.8139641284942627,322.60443115234375,buy,101.91396584533692
40,-0.25909221172332764,-491.5592956542969,sell,155.28849709014895
41,0.9996151924133301,499.9996337890625,buy,165.45987881347656
42,-0.6198660135269165,-494.71551513671875,sell,177.46929674499512
43,0.9993041753768921,499.9940185546875,buy,171.54794776611328
44,-0.9864290952682495,-497.89678955078125,sell,155.21434517456055
45,0.9988573789596558,499.674072265625,buy,145.18030169677732
46,-0.7491734623908997,-406.8467102050781,sell,117.94486128845215
56,-0.2911425828933716,-410.56640625,sell,89.856563671875
60,0.386991024017334,470.1998291015625,buy,144.14916160766603
61,-0.4676727056503296,-440.48333740234375,sell,134.2813454071045
62,0.838571310043335,488.0875244140625,buy,147.17303123657223
63,-0.7823042273521423,-172.02413940429688,sell,52.65142834747314
65,0.6914886236190796,498.8955078125,buy,162.09115048828122
66,-0.9392004609107971,-499.45843505859375,sell,173.52184950805665
67,0.9836080074310303,499.79290771484375,buy,152.36686584594727
68,-0.939301609992981,-488.2340393066406,sell,147.44667987060546
69,0.7064263820648193,493.58746337890625,buy,129.13728804382322
70,-0.7646682262420654,-221.64132690429688,sell,61.88225847167969
78,0.04882216453552246,-388.1430969238281,sell,97.27254152008057
79,0.7497810125350952,172.38031005859375,buy,50.335050537109375
81,0.2648431062698364,-255.9095001220703,sell,103.9837071846008
82,0.7264611721038818,414.3468017578125,buy,165.94175063598632
83,-0.4983934760093689,-475.91754150390625,sell,190.20044546203607
84,0.9757739305496216,478.83416748046875,buy,202.0345002850342
85,-0.13786524534225464,-460.87744140625,sell,186.61388479980468
86,0.982567310333252,490.33807373046875,buy,192.683249453125
88,-0.20967388153076172,-430.19732666015625,sell,184.94613270446777
89,0.9866199493408203,498.7796630859375,buy,214.83936428100586
90,-0.2725815773010254,-442.0029296875,sell,196.68246365234376
91,0.9902241230010986,495.71142578125,buy,214.71740407714842
92,-0.2099739909172058,-490.297119140625,sell,209.80794322265626
93,0.7815201282501221,21.8116455078125,buy,8.556708532714843
95,0.9980190992355347,483.26171875,buy,156.8474234375
99,0.24350452423095703,-485.9747314453125,sell,134.08042840576172
100,0.9262959957122803,310.3837890625,buy,86.19047438476562
101,0.17105889320373535,-327.7077941894531,sell,94.17666589416501
102,0.7468372583389282,371.94287109375,buy,115.01589402832032
103,-0.9286277294158936,-498.517578125,sell,184.94503630859376
104,0.29416322708129883,-48.015594482421875,sell,21.843734397888184
107,0.7138254642486572,456.84515380859375,buy,207.04222370605467
108,-0.7912572026252747,-453.11529541015625,sell,208.5100654888916
109,0.9698649644851685,497.28912353515625,buy,225.75434341125487
110,-0.9223201274871826,-485.9312744140625,sell,216.77394151611327
111,0.9521651268005371,496.4593505859375,buy,228.01881513061522
112,-0.8490867018699646,-466.903076171875,sell,211.8992920898437
113,0.953885555267334,494.24334716796875,buy,228.10813201843263
114,-0.8219162225723267,-483.23187255859375,sell,231.66135970458984
115,0.9617476463317871,492.39385986328125,buy,223.51234480773925
116,-0.6926442980766296,-482.41729736328125,sell,201.77585879516596
118,0.9785656929016113,368.7099609375,buy,117.6184775390625
119,0.9817643165588379,115.212646484375,buy,35.13755292480469
120,0.8653366565704346,44.304443359375,buy,12.15182272460937
121,-0.014733612537384033,-447.53216552734375,sell,118.41253567687988
126,-0.18871092796325684,-250.2313232421875,sell,64.91000524902341
127,0.6674642562866211,457.26361083984375,buy,116.16782033386231
131,0.5865542888641357,144.19244384765625,buy,46.89570851257324
132,-0.6183260679244995,-423.8078308105469,sell,129.2656264755249
133,0.9750105142593384,484.61724853515625,buy,143.85863022766114
134,-0.7847868204116821,-421.000732421875,sell,136.0463866821289
135,0.9869678020477295,496.39678955078125,buy,202.5596739440918
136,-0.9109543561935425,-479.3470153808594,sell,209.35001549743654
137,0.9296548366546631,477.49176025390625,buy,216.81468357849118
138,-0.7955745458602905,-464.9691467285156,sell,194.9429644573974
139,0.9284865856170654,480.02337646484375,buy,192.0093505859375
140,-0.957417368888855,-497.773681640625,sell,193.32534247558593
142,-0.4030379056930542,-306.0447998046875,sell,100.12255625610351
145,0.7212200164794922,446.6649169921875,buy,127.99629861328124
147,0.7206228971481323,275.01580810546875,buy,74.16351297180177
148,0.056674957275390625,-461.3351745605469,sell,124.5189769656372
149,0.8026784658432007,460.32379150390625,buy,126.81460132141113
150,-0.3444788455963135,-439.4025573730469,sell,131.72849267486572
151,0.8113203048706055,497.21966552734375,buy,162.09361096191407
152,-0.9813553690910339,-482.5393371582031,sell,193.0591634036255
153,0.8000888824462891,489.58050537109375,buy,219.05300551818848
154,-0.9807203412055969,-496.1873474121094,sell,225.31371258636474
155,0.7813373804092407,460.1541748046875,buy,206.0800471862793
